Extraction Type,Extraction Layer,Distance Function Type,Combination Function Level,# of Neurons per Layer,# of Layers,Loss Mean,Loss Std,Binary Accuracy Mean,Binary Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,True Negatives Mean,True Negatives Std,False Positives Mean,False Positives Std,False Negatives Mean,False Negatives Std,True Positives Mean,True Positives Std
Transfer,1,Cosine,1,1024,1,0.07895806675348431,0.0031366642636740205,0.8927999973297119,0.004656424391479687,0.9324987530708313,0.00584616037533266,0.8474525690078736,0.006289747225590116,7489.0,47.471043805671684,492.0,43.78355855797927,1223.2,48.23069562011313,6795.8,67.88740678505845
Transfer,1,Cosine,1,16,1,0.0846108551185578,0.0034385068489760614,0.8859000086784363,0.004080870129794657,0.9457008004188537,0.001528956545757799,0.8177801370620728,0.008612877530104687,7661.6,54.578383999528604,374.0,12.90348790056394,1451.6,77.74831187877972,6512.8,44.58923636933021
Transfer,1,Cosine,2,0,0,0.14823480535149575,0.009173836865967958,0.8886624932289123,0.003729262515089814,0.9018119931221008,0.023517007004223017,0.8739972233772277,0.03542432999881602,7219.2,262.17112731954296,773.0,238.7833746306472,1008.4,280.68719244026795,6999.4,307.75688456962257
Transfer,1,Cosine,2,1024,1,0.1494370142877102,0.05172615344947324,0.876924991607666,0.03446303265212933,0.8714379906654358,0.06771538716041245,0.8963700890541076,0.03825501122302131,6819.6,912.8114810846761,1138.0,821.8372709971238,831.2,303.7362342559741,7211.2,382.5032026009717
Transfer,1,Cosine,2,16,1,0.1821373943805695,0.0625209097126408,0.8783749938011169,0.01772802835450436,0.8964855909347534,0.03860721354779543,0.8569901943206787,0.010923241946411363,7205.0,295.63406434306586,803.0,335.75065152580123,1143.0,89.05896922825909,6849.0,93.01881530099166
Transfer,1,Cosine,3,0,0,0.07164453479070217,0.007660277044728778,0.9073750019073487,0.003736173334489106,0.9431260347366333,0.0075643303723959745,0.8674896240234375,0.015462976292517461,7567.2,86.54016408581624,420.4,65.63002361724396,1061.6,122.492040557744,6950.8,137.3306229506005
Transfer,1,Cosine,3,1024,1,0.06910649972427636,0.004656878454272771,0.9101125001907349,0.0042643215598456565,0.9261568665504456,0.01691355096899578,0.8914684772491455,0.01928494427047884,7445.0,157.8717834193305,571.6,155.7459469777625,866.6,155.62069271147718,7116.8,152.97287341224913
Transfer,1,Cosine,3,16,1,0.06759545226227492,0.0012688734758176346,0.9111500024795532,0.0026437500086250367,0.939381194114685,0.00651592083930215,0.879408061504364,0.005595695498476217,7530.6,64.6938946114701,455.2,53.42939265984595,966.4,43.8782406210641,7047.8,65.08609682566623
Transfer,2,Cosine,0,0,0,0.38422581979632375,0.00951758206170751,0.5051124930381775,0.004368832212322673,0.5017601430416108,0.00849159880608107,0.49507721066474913,0.02563327193033559,4148.2,167.6505293758418,3905.4,184.33746228045996,4012.8,222.34815043080525,3933.6,200.25558668861152
Transfer,2,Cosine,0,1024,1,0.11377365388572218,0.0031197055463256435,0.8447749972343445,0.005210713718898076,0.8154569625854492,0.013286939552476366,0.8900322914123535,0.028277567820556033,6430.6,230.24725839844436,1609.0,197.30306637252247,874.6,221.2527965924951,7085.8,256.1595206116688
Transfer,2,Cosine,0,16,1,0.15278809810876845,0.007108863232027121,0.7912500023841857,0.010825770850194804,0.759603750705719,0.009192092124392348,0.8484318375587463,0.020037600863099133,5915.6,107.83227717154081,2135.0,107.05372483010575,1205.0,160.76069171286866,6744.4,153.55715548290155
Transfer,2,Cosine,1,0,0,0.06381747635570353,0.002271862788698751,0.9162124872207642,0.0039700133138218545,0.9197777032852172,0.00533172841851316,0.9120288848876953,0.005847661907381853,7359.2,67.85793984494372,636.6,40.69152245861538,704.0,44.805133634439706,7300.2,101.99117608891467
Transfer,2,Cosine,1,1024,1,0.06395991661269218,0.002137448735967534,0.914787495136261,0.0034211507052589844,0.9178786277770996,0.018491578995080953,0.9119197845458984,0.015870620861595866,7333.8,152.45556729749163,657.8,172.63748144594788,705.6,128.55076818129092,7302.8,112.88135364177735
Transfer,2,Cosine,1,16,1,0.06443449823521077,0.0027416182061106072,0.9150749921798706,0.004340377340878658,0.9200266599655151,0.004331685381571793,0.9100066184997558,0.005894059838646425,7326.2,70.67319152267004,635.6,29.065443399335923,723.2,44.25720280361153,7315.0,107.61970079869205
Transfer,2,Cosine,2,0,0,0.13810542113780974,0.014568613907529818,0.8851625084877014,0.0036934627553267887,0.8872126579284668,0.011783474342628287,0.8820112943649292,0.0099469095863008,7126.2,59.225838955645024,895.8,107.36014157963838,941.6,83.76932612836276,7036.4,60.82187106625379
Transfer,2,Cosine,2,1024,1,0.11471793234273793,0.03477306941867863,0.8815500020980835,0.0072845999816983234,0.8707316517829895,0.025942648263272274,0.8980345487594604,0.020051501895643368,6906.2,213.69066427899932,1077.2,253.7492857132804,818.0,165.57022679213796,7198.6,137.00474444339508
Transfer,2,Cosine,2,16,1,0.1397555031314492,0.046002829770304975,0.8864624857902527,0.006718622461276421,0.8942147135734558,0.019786479616786465,0.8764831066131592,0.02077461708354754,7196.4,145.04413121529598,831.4,180.3061285702735,985.2,169.57505712810476,6987.0,142.15308649480673
Transfer,2,Cosine,3,0,0,0.0824429595220834,0.002278752470881943,0.8863125085830689,0.0038316554722881654,0.8904796719551087,0.005695151960284278,0.880925989151001,0.005456043503956704,7135.6,98.72841536254899,866.8,52.17949788949679,952.2,41.48734746883681,7045.4,88.94548892439684
